0,21,1
0,1,1000,1000,0,0
0,2,1000,1000,0,0
0,3,1000,1000,0,0
0,4,1000,1000,0,0
0,5,1000,1000,0,0
1,7,18,2,1,1
1,9,17,2,1,1
1,10,20,1,1,1
2,6,26,2,1,1
2,7,15,1,1,1
2,9,29,1,1,1
3,6,21,2,1,1
3,8,20,2,1,1
3,9,22,2,1,1
3,10,30,1,1,1
4,6,20,1,1,1
4,10,18,1,1,1
5,7,26,1,1,1
5,10,19,2,1,1
6,11,16,2,0,2
6,12,23,1,0,2
6,13,16,1,0,2
6,14,13,1,0,2
6,15,11,2,0,2
7,11,18,1,0,2
7,12,18,2,0,2
7,13,21,1,0,2
7,14,13,1,0,2
8,12,8,2,0,2
8,13,11,2,0,2
8,14,13,2,0,2
8,15,12,1,0,2
9,11,12,1,0,2
9,12,11,1,0,2
9,13,8,1,0,2
9,14,19,1,0,2
10,11,13,1,0,2
10,12,12,2,0,2
10,13,15,1,0,2
10,14,9,1,0,2
10,15,9,2,0,2
11,16,9,1,0,3
11,17,13,1,0,3
11,18,16,1,0,3
11,19,15,1,0,3
11,20,10,1,0,3
12,16,11,1,0,3
12,17,9,1,0,3
12,18,17,1,0,3
12,19,10,1,0,3
12,20,11,1,0,3
13,16,12,1,0,3
13,17,8,1,0,3
13,18,15,1,0,3
13,19,16,1,0,3
13,20,8,1,0,3
14,16,12,1,0,3
14,17,12,1,0,3
14,18,15,1,0,3
14,19,13,1,0,3
14,20,23,1,0,3
15,17,10,1,0,3
15,18,17,1,0,3
15,19,19,1,0,3
16,21,1000,1000,0,4
17,21,1000,1000,0,4
18,21,1000,1000,0,4
19,21,1000,1000,0,4
20,21,1000,1000,0,4
21,0,301,10000,0,5
