0,16,2
0,1,1000,1000,0,0
0,2,1000,1000,0,0
0,3,1000,1000,0,0
0,4,1000,1000,0,0
0,5,1000,1000,0,0
1,6,22,2,0,1
1,7,27,2,0,1
1,8,27,1,0,1
1,9,24,1,0,1
1,10,25,2,0,1
2,6,24,1,0,1
2,8,18,1,0,1
2,9,30,1,0,1
2,10,28,2,0,1
3,6,27,2,0,1
3,9,28,1,0,1
3,10,15,2,0,1
4,6,19,2,0,1
4,7,27,1,0,1
4,9,17,1,0,1
5,7,24,2,0,1
5,8,23,2,0,1
5,9,21,1,0,1
6,12,25,1,1,2
6,13,20,1,1,2
6,14,22,1,1,2
6,15,18,1,1,2
7,11,23,1,1,2
7,13,10,1,1,2
7,15,18,1,1,2
8,11,21,1,1,2
8,12,19,1,1,2
8,13,12,1,1,2
8,14,25,1,1,2
8,15,17,1,1,2
9,11,20,1,1,2
9,12,30,1,1,2
9,13,15,1,1,2
9,14,22,1,1,2
9,15,14,1,1,2
10,11,17,1,1,2
10,12,23,1,1,2
10,13,27,1,1,2
10,14,11,1,1,2
10,15,17,1,1,2
11,16,1000,1000,0,3
12,16,1000,1000,0,3
13,16,1000,1000,0,3
14,16,1000,1000,0,3
15,16,1000,1000,0,3
16,0,426,10000,0,4
