0, 34
0, 1 , 35 , 8, 0, 1, 0, 0
0, 8 , 35 , 8, 0, 1, 0, 0
0, 15 , 13 , 8, 0, 1, 0, 0
0, 19 , 40 , 8, 0, 1, 0, 0
0, 26 , 38 , 8, 0, 1, 0, 0
1  ,  2 ,10000, 4, 0, 0, 1, 0
1  ,  3 ,10000, 100, 0, 0, 0, 0
1  ,  4 ,10000, 100, 0, 0, 0, 0
1  ,  5 ,10000, 100, 0, 0, 0, 0
1  ,  6 ,10000, 100, 0, 0, 0, 0
1  ,  7 ,10000, 100, 0, 0, 0, 0
2  ,  3 ,10000, 100, 0, 0, 0, 0
2  ,  4 ,10000, 100, 0, 0, 0, 0
2  ,  5 ,10000, 100, 0, 0, 0, 0
2  ,  6 ,10000, 100, 0, 0, 0, 0
2  ,  7 ,10000, 100, 0, 0, 0, 0
8  ,  9 ,10000, 4, 0, 0, 1, 0
8  ,  12 ,10000, 100, 0, 0, 0, 0
8  ,  14 ,10000, 100, 0, 0, 0, 0
9  ,  10 ,10000, 100, 0, 0, 0, 0
9  ,  11 ,10000, 100, 0, 0, 0, 0
9  ,  13 ,10000, 100, 0, 0, 0, 0
9  ,  14 ,10000, 100, 0, 0, 0, 0
15  ,  16 ,10000, 4, 0, 0, 1, 0
15  ,  17 ,10000, 100, 0, 0, 0, 0
15  ,  18 ,10000, 100, 0, 0, 0, 0
16  ,  17 ,10000, 100, 0, 0, 0, 0
16  ,  18 ,10000, 100, 0, 0, 0, 0
19  ,  20 ,10000, 4, 0, 0, 1, 0
19  ,  23 ,10000, 100, 0, 0, 0, 0
19  ,  24 ,10000, 100, 0, 0, 0, 0
19  ,  25 ,10000, 100, 0, 0, 0, 0
20  ,  21 ,10000, 100, 0, 0, 0, 0
20  ,  22 ,10000, 100, 0, 0, 0, 0
20  ,  23 ,10000, 100, 0, 0, 0, 0
20  ,  24 ,10000, 100, 0, 0, 0, 0
20  ,  25 ,10000, 100, 0, 0, 0, 0
26  ,  27 ,10000, 4, 0, 0, 1, 0
26  ,  28 ,10000, 100, 0, 0, 0, 0
26  ,  29 ,10000, 100, 0, 0, 0, 0
26  ,  30 ,10000, 100, 0, 0, 0, 0
26  ,  31 ,10000, 100, 0, 0, 0, 0
26  ,  32 ,10000, 100, 0, 0, 0, 0
26  ,  33 ,10000, 100, 0, 0, 0, 0
27  ,  28 ,10000, 100, 0, 0, 0, 0
27  ,  29 ,10000, 100, 0, 0, 0, 0
27  ,  30 ,10000, 100, 0, 0, 0, 0
27  ,  31 ,10000, 100, 0, 0, 0, 0
27  ,  32 ,10000, 100, 0, 0, 0, 0
27  ,  33 ,10000, 100, 0, 0, 0, 0
2 , 34 , 8 ,4, 1, 0, 0, 0
9 , 34 , 8 ,4, 1, 0, 0, 0
16 , 34 , 6 ,4, 1, 0, 0, 0
20 , 34 , 10 ,4, 1, 0, 0, 0
27 , 34 , 9 ,4, 1, 0, 0, 0
3 , 34 , 9 ,2, 1, 0, 0, 1
4 , 34 , 4 ,2, 1, 0, 0, 1
5 , 34 , 5 ,2, 1, 0, 0, 1
6 , 34 , 5 ,2, 1, 0, 0, 1
7 , 34 , 4 ,2, 1, 0, 0, 1
10 , 34 , 7 ,2, 1, 0, 0, 1
11 , 34 , 4 ,2, 1, 0, 0, 1
12 , 34 , 2 ,2, 1, 0, 0, 1
13 , 34 , 8 ,2, 1, 0, 0, 1
14 , 34 , 6 ,2, 1, 0, 0, 1
17 , 34 , 2 ,2, 1, 0, 0, 1
18 , 34 , 5 ,2, 1, 0, 0, 1
21 , 34 , 8 ,2, 1, 0, 0, 1
22 , 34 , 6 ,2, 1, 0, 0, 1
23 , 34 , 10 ,2, 1, 0, 0, 1
24 , 34 , 3 ,2, 1, 0, 0, 1
25 , 34 , 3 ,2, 1, 0, 0, 1
28 , 34 , 1 ,2, 1, 0, 0, 1
29 , 34 , 5 ,2, 1, 0, 0, 1
30 , 34 , 1 ,2, 1, 0, 0, 1
31 , 34 , 6 ,2, 1, 0, 0, 1
32 , 34 , 8 ,2, 1, 0, 0, 1
33 , 34 , 8 ,2, 1, 0, 0, 1
34 , 0, 10000, 100, 0, 0, 0, 0
