0,21,1
0,1,1000,1000,0,0
0,2,1000,1000,0,0
0,3,1000,1000,0,0
0,4,1000,1000,0,0
0,5,1000,1000,0,0
1,6,22,2,1,1
1,7,25,2,1,1
1,8,19,2,1,1
1,9,20,2,1,1
1,10,30,1,1,1
2,6,22,1,1,1
2,7,19,2,1,1
2,8,20,1,1,1
2,9,19,1,1,1
3,6,20,2,1,1
3,7,21,1,1,1
3,8,24,1,1,1
3,10,15,1,1,1
4,7,24,1,1,1
4,9,28,2,1,1
4,10,15,2,1,1
5,6,21,1,1,1
5,8,19,1,1,1
5,10,25,1,1,1
6,11,30,1,0,2
6,12,29,2,0,2
6,13,23,1,0,2
7,12,32,1,0,2
7,13,19,1,0,2
7,14,21,1,0,2
8,11,16,1,0,2
8,12,28,1,0,2
8,13,25,2,0,2
8,15,25,2,0,2
9,11,17,2,0,2
9,12,22,2,0,2
9,13,19,1,0,2
9,14,25,2,0,2
10,11,30,2,0,2
10,12,28,2,0,2
10,13,19,2,0,2
11,16,25,1,0,3
11,17,19,1,0,3
11,18,15,1,0,3
11,19,18,1,0,3
11,20,16,1,0,3
12,16,13,1,0,3
12,17,19,1,0,3
12,18,15,1,0,3
12,19,17,1,0,3
12,20,11,1,0,3
13,16,16,1,0,3
13,17,12,1,0,3
13,18,13,1,0,3
13,19,19,1,0,3
13,20,20,1,0,3
14,16,17,1,0,3
14,18,19,1,0,3
14,19,18,1,0,3
14,20,19,1,0,3
15,16,16,1,0,3
15,17,20,1,0,3
15,18,15,1,0,3
15,19,21,1,0,3
15,20,15,1,0,3
16,21,1000,1000,0,4
17,21,1000,1000,0,4
18,21,1000,1000,0,4
19,21,1000,1000,0,4
20,21,1000,1000,0,4
21,0,408,10000,0,5
