0,31,
0,1,10000,8,0,1,0,0,
0,5,10000,8,0,1,0,0,
0,8,10000,8,0,1,0,0,
0,17,10000,8,0,1,0,0,
0,23,10000,8,0,1,0,0,
1,2,10000,100,0,0,0,0,
1,3,10000,100,0,0,0,0,
1,4,10000,100,0,0,0,0,
5,6,10000,100,0,0,0,0,
5,7,10000,100,0,0,0,0,
8,9,10000,4,0,0,1,0,
8,10,10000,100,0,0,0,0,
8,11,10000,100,0,0,0,0,
8,12,10000,100,0,0,0,0,
8,13,10000,100,0,0,0,0,
9,10,10000,100,0,0,0,0,
9,11,10000,100,0,0,0,0,
9,12,10000,100,0,0,0,0,
9,13,10000,100,0,0,0,0,
9,14,10000,100,0,0,0,0,
9,15,10000,100,0,0,0,0,
9,16,10000,100,0,0,0,0,
17,18,10000,4,0,0,1,0,
17,19,10000,100,0,0,0,0,
17,20,10000,100,0,0,0,0,
17,21,10000,100,0,0,0,0,
17,22,10000,100,0,0,0,0,
18,19,10000,100,0,0,0,0,
18,20,10000,100,0,0,0,0,
23,24,10000,4,0,0,1,0,
23,25,10000,100,0,0,0,0,
23,26,10000,100,0,0,0,0,
23,27,10000,100,0,0,0,0,
23,28,10000,100,0,0,0,0,
23,29,10000,100,0,0,0,0,
23,30,10000,100,0,0,0,0,
24,29,10000,100,0,0,0,0,
24,30,10000,100,0,0,0,0,
9,31,1,4,1,0,0,0,
18,31,1,4,1,0,0,0,
24,31,1,4,1,0,0,0,
2,31,1,2,1,0,0,1,
3,31,1,2,1,0,0,1,
4,31,1,2,1,0,0,1,
6,31,1,2,1,0,0,1,
7,31,1,2,1,0,0,1,
10,31,1,2,1,0,0,1,
11,31,1,2,1,0,0,1,
12,31,1,2,1,0,0,1,
13,31,1,2,1,0,0,1,
14,31,1,2,1,0,0,1,
15,31,1,2,1,0,0,1,
16,31,1,2,1,0,0,1,
19,31,1,2,1,0,0,1,
20,31,1,2,1,0,0,1,
21,31,1,2,1,0,0,1,
22,31,1,2,1,0,0,1,
25,31,1,2,1,0,0,1,
26,31,1,2,1,0,0,1,
27,31,1,2,1,0,0,1,
28,31,1,2,1,0,0,1,
29,31,1,2,1,0,0,1,
30,31,1,2,1,0,0,1,
31,0,10000,100,0,0,0,0,
